#{"t_start": 1734429533.7552483, "env_id": "CustomLunarLander-v3"}
r,l,t
-26.5437,128,689.162633
-61.199776,116,689.99975
136.586973,625,694.506891
57.768703,150,695.599057
-168.40318,146,696.628737
176.916161,539,700.530791
-90.292385,196,701.946987
246.696277,567,706.052079
183.015211,296,708.202399
20.415704,147,709.276341
248.534864,419,712.30577
232.789645,315,714.605565
-23.928231,99,715.328184
6.696585,444,718.52459
-174.647186,427,721.613253
-210.488103,229,723.261942
-14.904909,129,724.174061
304.021198,318,726.463881
232.514477,340,728.940212
23.614661,243,730.67069
-45.028422,265,732.575479
-32.405701,614,736.99813
-46.693309,140,738.021759
183.677077,442,741.238241
246.115095,438,744.416713
291.662184,391,747.273604
232.056585,307,749.506387
-48.621918,301,751.694361
-42.479878,149,752.781512
245.82197,417,755.814636
-43.180221,248,757.571894
262.33102,341,760.034736
247.626512,319,762.359048
13.602005,126,763.278693
243.043416,296,765.39251
37.415113,181,766.692718
200.01319,498,770.293531
-28.738991,82,770.886716
287.536176,198,772.317964
-62.788545,303,774.518755
-19.218928,221,776.115971
186.22681,463,779.46454
220.150518,887,785.901139
-120.881154,665,790.728631
202.745778,583,794.933923
-14.765492,306,797.151387
-87.767008,125,798.053507
-243.329964,270,799.992796
-150.97476,346,802.505161
256.747395,467,805.902132
10.338741,168,807.097497
-81.685998,131,808.045613
50.109667,201,809.485313
47.961232,89,810.129901
-44.823187,357,812.73529
-49.715046,125,813.645934
2.177705,176,814.896112
37.763329,83,815.494188
52.113107,132,816.460849
-7.424042,255,818.315623
202.992291,423,821.379387
-72.332886,296,823.50821
-106.322579,231,825.145408
231.248247,278,827.172676
187.251635,302,829.382155
208.546758,681,834.274313
147.629821,361,836.893695
-64.074688,205,838.381393
204.647447,345,840.879236
-90.377916,149,841.976582
-24.379474,266,843.883467
213.197126,374,846.57037
7.915322,119,847.437032
-214.569357,239,849.183778
-13.042024,191,850.545493
-48.369772,101,851.27562
-74.047614,297,853.414464
276.590018,300,855.585065
-66.137441,276,857.536828
231.324501,288,859.596093
234.638776,249,861.392981
-109.548331,159,862.547189
268.92925,279,864.558462
277.425651,350,867.106338
-11.639018,250,868.917098
-22.052555,118,869.776701
4.328537,146,870.813006
-24.964588,262,872.709759
-16.539691,195,874.099964
-101.451413,252,875.918707
279.942453,249,877.708219
263.072541,231,879.389946
205.458339,345,881.892065
3.834057,202,883.375775
38.124846,189,884.723985
2.397703,334,887.119423
-105.172809,162,888.303062
244.058162,326,890.643338
-67.201163,180,891.930042
173.892865,457,895.259469
157.628982,315,897.561279
190.316417,347,900.055128
7.291883,211,901.582335
19.730406,115,902.414953
243.771121,244,904.19469
35.191819,145,905.269334
-31.718049,180,906.580015
245.969384,316,908.869376
-20.489073,123,909.736986
48.158924,166,910.947154
-32.503098,204,912.441883
297.639982,302,914.603675
226.311095,475,918.030099
153.746849,219,919.662987
26.922188,152,920.764122
-68.900045,282,922.805543
43.548878,94,923.472651
254.913304,265,925.392951
-31.992055,182,926.712674
-88.484227,391,929.537056
-6.819993,253,931.369949
17.421488,231,933.043202
-15.863581,366,935.72559
-5.693542,164,936.908555
205.828492,287,938.974323
-25.734975,191,940.339198
-14.098051,127,941.269324
263.577204,389,944.119272
4.312462,97,944.816851
246.416556,301,947.00866
-20.404943,173,948.257743
290.133598,263,950.164606
17.42828,141,951.200735
265.802567,321,953.567597
-22.841818,177,954.837769
141.250552,485,958.372769
-178.989849,178,959.666435
-17.447675,112,960.478544
-275.49817,227,962.117281
228.023944,368,964.764146
3.055395,142,965.795464
246.412806,396,968.675887
31.536137,180,970.029795
238.267431,826,976.145573
-22.431645,120,977.004711
-50.764586,183,978.33101
24.876656,169,979.518708
225.724958,217,981.023458
-25.675027,338,983.330237
-114.204243,220,984.885504
181.604794,213,986.374753
-46.823097,120,987.230425
241.284167,235,988.90001
-3.543202,234,990.538361
1.526874,77,991.054928
7.677665,323,993.244805
273.391837,244,994.877538
-82.141617,298,996.915783
-51.003256,155,997.982449
0.983713,163,999.101624
-16.149723,169,1000.219274
-24.566501,115,1001.026403
-58.98824,188,1002.347954
7.874574,207,1003.754169
-89.491028,106,1004.50578
46.440629,139,1005.449966
9.690007,166,1006.546147
188.840787,217,1007.968233
-18.684505,117,1008.768851
-29.554257,122,1009.621977
213.37207,330,1011.877353
5.503425,127,1012.740729
21.540715,133,1013.600861
15.414368,204,1014.988043
-30.719065,92,1015.592622
190.147263,314,1017.67856
145.009615,301,1019.747379
1.460418,165,1020.90019
231.592942,440,1023.869156
264.892625,458,1026.951973
165.487277,397,1029.635391
273.601716,347,1031.949547
21.650471,127,1032.760183
0.442643,115,1033.504774
234.035258,334,1035.71011
-30.874171,132,1036.583263
-17.415776,120,1037.385254
3.027477,87,1037.941847
-103.677653,182,1039.160554
20.60316,91,1039.767642
-5.259179,159,1040.792685
-44.12656,220,1042.283206
-26.538495,187,1043.504882
249.801724,251,1045.150136
265.612302,278,1046.988353
211.611999,297,1048.925623
260.990952,219,1050.33858
-66.96439,156,1051.378212
147.221643,738,1056.227767
-51.50647,219,1057.688168
-103.686174,154,1058.696332
211.07755,333,1060.871664
-0.379243,117,1061.631292
-30.661013,210,1062.973498
-8.778513,153,1063.962141
-22.657291,124,1064.79377
231.825704,229,1066.311502
32.206146,138,1067.21015
236.131606,237,1068.802398
237.217596,396,1071.404989
-33.535128,121,1072.21912
272.090118,240,1073.780339
-18.688433,175,1074.917989
-63.008538,171,1076.032638
-50.583345,124,1076.861265
66.691871,133,1077.73544
24.727231,165,1078.812611
209.414019,270,1080.576399
139.468636,281,1082.396771
3.958951,340,1084.578929
25.657424,134,1085.438534
25.506167,168,1086.546374
15.073844,149,1087.544517
-46.326195,179,1088.712707
213.588838,227,1090.208572
3.849864,154,1091.235204
-1.412687,154,1092.247868
9.564448,129,1093.105498
38.053887,120,1093.884118
-25.49689,165,1094.969734
16.993086,124,1095.758851
26.685165,115,1096.503955
-98.801535,207,1097.882674
-16.244875,108,1098.607754
263.758586,307,1100.593674
271.573056,262,1102.294908
-87.946993,126,1103.107406
34.117775,116,1103.889527
192.143272,291,1105.802295
31.527232,176,1106.977465
215.629987,665,1111.342083
-16.729565,135,1112.225591
35.405843,184,1113.434252
257.245859,592,1117.333039
-27.438309,195,1118.594745
-46.195214,156,1119.644889
-6.159693,177,1120.814076
211.770587,275,1122.624879
-24.739804,214,1124.012737
-54.282092,127,1124.841846
-5.173614,336,1127.010267
-20.705496,135,1127.902417
26.204677,123,1128.704031
240.125216,312,1130.726828
202.019531,495,1133.994318
-67.063457,161,1135.043478
-43.827315,332,1137.191309
35.934691,231,1138.707027
265.385708,164,1139.780695
58.498591,117,1140.533303
241.238092,289,1142.396089
287.667439,316,1144.506861
5.682111,160,1145.537001
257.717694,324,1147.716478
224.785756,263,1149.450229
-69.811255,163,1150.536894
259.839111,193,1151.797582
3.903525,195,1153.060777
24.601523,99,1153.721853
-3.741562,99,1154.351955
-5.449164,267,1156.118224
-76.408794,137,1157.013864
299.568505,271,1158.799124
264.537025,189,1160.041299
223.662408,468,1163.082762
285.657422,226,1164.585469
34.146884,197,1165.87715
-12.821568,127,1166.688284
13.715076,233,1168.231508
-40.062623,191,1169.472201
28.291802,175,1170.645859
1.459308,141,1171.592507
-170.114167,490,1174.806506
172.82778,254,1176.476263
-6.383165,173,1177.609416
176.050086,748,1182.506477
60.199005,1000,1189.117354
37.970205,138,1190.029014
25.212365,148,1190.998165
186.839246,582,1194.815888
-48.610755,237,1196.393646
234.701034,305,1198.39191
140.145991,396,1200.952824
263.438591,203,1202.307696
246.914213,229,1203.787453
-100.993429,167,1204.898121
6.307579,189,1206.145298
223.143565,319,1208.261122
201.348957,310,1210.277421
19.184643,153,1211.269946
-102.631186,179,1212.433102
-24.520281,246,1214.037818
-54.824449,211,1215.432008
-8.829806,169,1216.530324
-165.679825,352,1218.873691
215.260257,179,1220.052469
252.608173,371,1222.472878
231.377168,208,1223.842068
-80.779002,176,1224.999438
15.319211,233,1226.544136
87.269725,1000,1233.145036
33.839552,167,1234.238196
-41.893821,167,1235.335333
204.235761,326,1237.481172
-29.347744,199,1238.796899
266.665699,414,1241.531981
-95.236266,201,1242.826696
263.624326,383,1245.349301
252.212103,381,1247.827926
14.191259,119,1248.610027
-34.270073,150,1249.583359
-73.173546,210,1250.959167
14.67335,202,1252.306397
