#{"t_start": 1734419833.1969223, "env_id": "CustomLunarLander-v3"}
r,l,t
7.862539,305,1077.834932
-75.08084,197,1079.596862
225.701294,281,1082.113205
-185.557949,236,1084.205519
-17.977928,325,1087.116223
-321.943464,439,1091.032781
13.927713,120,1092.09396
-20.786563,222,1094.072738
-173.324233,175,1095.631458
-173.800989,198,1097.405229
-61.071771,347,1100.522179
-145.151416,186,1102.194109
-231.058376,404,1105.792119
-71.392411,316,1108.613662
-140.147723,396,1112.183348
2.837783,193,1113.949094
-64.168066,417,1117.672318
-232.491392,365,1120.930791
249.244578,356,1124.180793
-230.247956,310,1126.914327
-17.867199,333,1129.880144
-25.743881,277,1132.341885
245.78675,333,1135.332808
-33.981373,257,1137.653674
223.802124,531,1142.397603
284.070919,351,1145.503556
-11.092039,281,1148.001421
-59.37271,266,1150.368777
11.620753,295,1153.043194
-228.451721,496,1157.470404
-19.844332,221,1159.441175
240.470789,337,1162.429744
-86.75548,508,1166.951758
-156.111633,549,1171.875614
-147.599386,378,1175.270069
-10.877584,149,1176.579973
-252.077943,284,1179.141902
238.311559,332,1182.065778
-95.506909,268,1184.478636
292.580664,283,1186.987463
-43.368964,238,1189.102744
-119.030668,190,1190.802093
-62.858975,323,1193.653522
204.872066,530,1198.425393
-245.76457,361,1201.705321
-98.570208,318,1204.570277
3.487063,394,1208.103846
-44.368236,247,1210.313182
11.554766,267,1212.691874
-194.044449,245,1214.898278
145.07875,763,1221.725875
-164.773962,313,1224.570588
-152.006774,252,1226.874423
-35.3944,203,1228.678731
-14.751601,286,1231.279108
-239.073284,412,1234.966155
34.07988,236,1237.107444
-59.89719,672,1243.090917
184.474594,509,1247.639184
-42.834635,368,1250.972678
-84.535741,237,1253.10265
-29.763315,260,1255.417612
-257.22266,375,1258.757229
38.606382,228,1260.801061
-239.23669,220,1262.780856
-26.359862,331,1265.760959
284.028604,259,1268.090297
206.704679,500,1272.538183
-15.371304,333,1275.523628
-44.717951,274,1277.994026
-63.145106,167,1279.499746
-116.570905,425,1283.338301
-7.505716,213,1285.279056
-12.315604,297,1287.905617
1.003038,197,1289.659387
10.019332,170,1291.211612
-101.603527,192,1292.909404
251.720828,324,1295.767307
206.177881,562,1300.789253
245.502644,399,1304.354905
-33.35557,524,1309.037792
190.618312,420,1312.807389
-48.988915,252,1315.066968
-87.080548,107,1316.039597
-238.097494,259,1318.351453
-40.761544,330,1321.310421
-44.664588,279,1323.855211
